"Name","TestM","TestRuns","TestBat Avg","TestWkts","TestBowl Avg","ODIM","ODIRuns","ODIBat Avg","ODIWkts","ODIBowl Avg","T20M","T20Runs","T20Bat Avg","T20Wkts","T20Bowl Avg"
"Aaron, V R*","9","35","3.89","18","52.61","9","8","8.00","11","38.09","","","","",""
"Aravind, S*","","","","","","","","","","","1","0","0.00","1","44.00"
"Ashwin, R*","58","2163","30.46","316","25.35","111","675","16.07","150","32.91","46","123","30.75","52","22.94"
"Binny, S T R*","6","194","21.56","3","86.00","14","230","28.75","20","21.95","3","35","17.50","1","54.00"
"Bumrah, J J*","3","4","1.00","14","25.21","37","11","3.67","64","22.50","35","8","4.00","43","19.93"
"Chahal, Y S*","","","","","","26","13","6.50","45","23.87","26","3","0.00","42","18.98"
"Chahar, D L*","","","","","","","","","","","1","0","0.00","1","43.00"
"Dhawan, R*","","","","","","3","12","12.00","1","160.00","2","6","6.00","1","42.00"
"Dhawan, S*","30","2153","43.94","0","0.00","105","4481","45.72","0","0.00","39","973","27.03","0","0.00"
"Dhoni, M S*","90","4876","38.09","0","0.00","321","10046","51.26","1","31.00","93","1487","37.18","0","0.00"
"Fazal, F Y*","","","","","","1","55","0.00","0","0.00","","","","",""
"Gambhir, G*","58","4154","41.96","0","0.00","147","5238","39.68","0","0.00","37","932","27.41","0","0.00"
"Gurkeerat Singh*","","","","","","3","13","6.50","0","0.00","","","","",""
"Harbhajan Singh*","103","2225","18.24","417","32.46","236","1237","13.30","269","33.36","28","108","13.50","25","25.28"
"Iyer, S S*","","","","","","6","210","42.00","0","0.00","6","83","16.60","0","0.00"
"Jadeja, R A*","36","1196","29.17","171","23.11","136","1914","31.38","155","35.88","40","116","9.67","32","30.72"
"Jadhav, K M*","","","","","","40","798","39.90","16","32.00","9","122","20.33","0","0.00"
"Karthik, K D*","24","1004","27.14","0","0.00","80","1517","29.75","0","0.00","21","269","29.89","0","0.00"
"Kaul, S*","","","","","","2","1","1.00","0","0.00","2","0","0.00","3","13.00"
"Kohli, V*","66","5554","53.40","0","0.00","211","9779","58.21","4","166.25","62","2102","48.88","4","49.50"
"Kuldeep Yadav*","2","33","16.50","9","20.78","23","31","15.50","48","19.35","12","16","16.00","24","13.21"
"Kulkarni, D S*","","","","","","12","27","0.00","19","26.74","2","1","0.00","3","18.33"
"Kumar, B*","21","552","22.08","63","26.10","87","400","14.81","90","38.86","29","21","7.00","28","24.93"
"Mandeep Singh*","","","","","","","","","","","3","87","43.50","0","0.00"
"Mishra, A*","22","648","21.60","76","35.72","36","43","5.38","64","23.61","10","0","0.00","16","15.00"
"Mohammed Shami*","30","398","14.74","110","28.91","50","116","10.55","91","25.37","7","0","0.00","8","31.25"
"Mohammed Siraj*","","","","","","","","","","","3","0","0.00","3","49.33"
"Mukund, A*","7","320","22.86","0","0.00","","","","","","","","","",""
"Nair, K K*","6","374","62.33","0","0.00","2","46","23.00","0","0.00","","","","",""
"Negi, P*","","","","","","","","","","","1","0","0.00","1","16.00"
"Ojha, N V*","1","56","28.00","0","0.00","1","1","1.00","0","0.00","2","12","6.00","0","0.00"
"Pandey, M K*","","","","","","22","432","39.27","0","0.00","25","515","42.92","0","0.00"
"Pandya, H H*","7","368","36.80","7","40.14","41","670","29.13","40","40.35","35","271","16.94","33","23.97"
"Pant, R R*","","","","","","","","","","","4","73","24.33","0","0.00"
"Parvez Rasool*","","","","","","1","0","0.00","2","30.00","1","5","5.00","1","32.00"
"Patel, A R*","","","","","","38","181","12.93","45","31.31","11","68","17.00","9","29.44"
"Patel, P A*","25","934","31.13","0","0.00","38","736","23.74","0","0.00","2","36","18.00","0","0.00"
"Pujara, C A*","58","4531","50.34","0","0.00","5","51","10.20","0","0.00","","","","",""
"Rahane, A M*","45","2893","43.18","0","0.00","90","2962","35.26","0","0.00","20","375","20.83","0","0.00"
"Rahul, K L*","24","1512","40.86","0","0.00","12","257","32.13","0","0.00","19","696","49.71","0","0.00"
"Raina, S K*","18","768","26.48","13","46.38","226","5615","35.31","36","50.31","78","1605","29.18","13","34.00"
"Rayudu, A T*","","","","","","34","1055","50.24","3","37.00","6","42","10.50","0","0.00"
"Saha, W P*","32","1164","30.63","0","0.00","9","41","13.67","0","0.00","","","","",""
"Shankar, V*","","","","","","","","","","","5","17","17.00","3","51.00"
"Sharma, I*","82","581","8.42","238","35.53","80","72","4.80","115","30.98","14","8","8.00","8","50.00"
"Sharma, M M*","","","","","","26","31","7.75","31","32.90","8","3","0.00","6","30.83"
"Sharma, R G*","25","1479","39.97","2","101.00","183","6748","44.99","8","64.38","84","2086","32.59","1","113.00"
"Sran, B B*","","","","","","6","0","0.00","7","38.43","2","0","0.00","6","6.83"
"Thakur, S N*","","","","","","4","22","0.00","6","29.50","7","0","0.00","8","30.25"
"Unadkat, J D*","1","2","2.00","0","0.00","7","0","0.00","8","26.13","10","0","0.00","14","21.50"
"Vijay, M*","57","3907","41.13","1","167.00","17","339","21.19","1","37.00","9","169","18.78","0","0.00"
"Washington Sundar*","","","","","","1","0","0.00","1","65.00","6","0","0.00","9","15.11"
"Yadav, J*","4","228","45.60","11","33.36","1","1","0.00","1","8.00","","","","",""
"Yadav, U T*","37","252","10.96","103","34.94","73","79","7.90","105","32.60","5","0","0.00","8","18.50"
"Yuvraj Singh*","40","1900","33.93","9","60.78","304","8701","36.56","111","38.68","58","1177","28.02","28","17.82"
"Total Players = 55"
