

Week,facebook signup: (Worldwide)
16-6,11
16-6,10
16-6,8
16-7,8
16-7,11
16-7,11
16-7,11
16-7,10
16-8,12
16-8,9
16-8,12
16-8,24
16-9,22
16-9,16
16-9,12
16-9,11
16-10,10
16-10,16
16-10,11
16-10,15
16-10,15
16-11,13
16-11,13
16-11,27
16-11,42
16-12,43
16-12,41
16-12,27
16-12,21
17-1,19
17-1,
17-1,17
17-1,16
17-1,18
17-2,17
17-2,19
17-2,33
17-2,34
17-3,37
17-3,40
17-3,52
17-3,44
17-4,50
17-4,53
17-4,49
17-4,49
17-4,54
17-5,62
17-5,59
17-5,56
17-5,71
17-6,63
17-6,61
17-6,68
17-6,69
17-7,74
17-7,77
17-7,93
17-7,100
17-7,97
17-8,90
17-8,83
17-8,76
17-8,61
17-9,61
17-9,61
17-9,50
17-9,53
17-10,55
17-10,59
17-10,59
17-10,51
17-10,49
17-11,42
17-11,41
17-11,36
17-11,39
17-12,35
17-12,37
17-12,24
17-12,20
17-12,20
18-1,14
18-1,13
18-1,13
18-1,14
18-2,16
18-2,10
18-2,10
18-2,11
18-3,9
18-3,9
18-3,9
18-3,7
18-4,8
18-4,10
18-4,8
18-4,6
18-4,8
18-5,9
18-5,5
18-5,8
18-5,8
18-6,10
18-6,10
18-6,8
18-6,9
18-7,7
